,plus,mcmullen,state,locality,name,type,founding_date,em,ml,ce,de,sz,ld,vs,period
8183,5581,6678,VA,Salem,Roanoke College - Historical Society of Roanoke College,Coll socy,1875,NA,1875,NA,1875,500,1875,500,NA
8184,5580,6677,VA,Salem,Roanoke College - Demosthenean Library,Coll socy,1850,NA,1884,NA,NA,0,NA,0,Antebellum
8185,6162,6679,VA,Salem,Theological Seminary Luthern,Theo coll,1873,NA,1875,NA,1875,500,1875,500,NA
8186,7760,12869,VA,St. Staunton,Soldier's Library,Garr,NA,NA,NA,NA,NA,0,NA,0,NA
8187,2722,6680,VA,Staunton,August County Law Library,Law socl,1852,NA,1884,NA,NA,0,NA,0,Antebellum
8188,7002,42122,VA,Staunton,Western Lunatic Asylum,Asylum,NA,1842,1842,NA,NA,0,NA,0,NA
8189,7759,12870,VA,Staunton,Soldier's Library,Garr,NA,NA,NA,NA,NA,0,NA,0,NA
8190,7899,31053,VA,Warm Springs,Court Library,Co law,NA,1870,1870,NA,1870,200,1870,200,NA
8191,7003,31054,VA,Williamsburg,Eastern Lunatic Asylum,Asylum,1841,NA,1991,NA,NA,0,NA,0,Antebellum
8192,6165,6683,VA,Williamsburg,William and Mary College - Law School,Law coll,NA,1858,1858,NA,1858,1000,1858,1000,NA
8193,6155,6682,VA,Williamsburg,William and Mary College Library,Coll,1693,NA,1884,NA,1845,5000,1875,5000,Colonial
8194,3642,6684,VA,Winchester,YMCA,YMCA,1856,NA,NA,1877,1857,734,1858,1062,Antebellum
8195,380,99037,VT,Andover,Soc. Library,Socl,NA,NA,NA,NA,NA,0,NA,0,NA
8196,381,6498,VT,Arlington,Arlington Library Society,Socl,1803,NA,1803,NA,NA,0,NA,0,Early National
8197,382,6499,VT,Barnard,Social Library,Socl,NA,1800,1800,NA,NA,0,NA,0,NA
8198,2805,6500,VT,Barnet,Ladies Library,Ladies,1872,NA,1885,NA,1875,500,1875,500,NA
8199,4424,6501,VT,Barre,Barre Historical Society,Hist socl,1812,NA,1812,NA,NA,0,NA,0,Early National
8200,383,6502,VT,Bennington,Free Library,Socl,1865,NA,1884,NA,1875,3333,1875,3333,NA
8201,2804,6504,VT,Benson,Benson Female Library Society.,Ladies,1833,NA,1838,NA,NA,0,NA,0,Antebellum
8202,4310,6503,VT,Benson,Benson Book Club,Lit socy,1855,NA,1883,NA,NA,0,NA,0,Antebellum
8203,7963,6505,VT,Bradford,Merrill Library,Public,1848,NA,1884,NA,NA,0,NA,0,Antebellum
8204,385,6508,VT,Bradford,Social Library,Socl,1796,NA,1796,NA,NA,0,NA,0,Early National
8205,384,6506,VT,Bradford,Public Library,Socl,1875,NA,1884,NA,NA,0,NA,0,NA
8206,3958,6507,VT,Bradford,Scientific Assoc.,Sci eng socy,1857,NA,1875,NA,1875,420,1875,420,Antebellum
8207,3515,6510,VT,Brandon,Ladies' Book Club,Ladies' socy,1869,NA,1884,NA,NA,0,NA,0,NA
8208,4544,6509,VT,Brandon,"Brandon Farmers' Club, Society",Agri socl,NA,1867,1867,NA,1867,200,1867,200,NA
8209,386,6511,VT,Brattleboro,Brattleboro Library Assoc.,Socl,1842,NA,1875,NA,1857,1873,1875,3000,Antebellum
8210,6834,6512,VT,Brattleborough,Vermont Asylum for the Insane,Asylum,1836,NA,1884,NA,1875,1000,1875,1000,Antebellum
8211,387,6513,VT,Brookfield,Social Library,Socl,1791,NA,1846,NA,1835,800,1835,800,Early National
8212,7964,6514,VT,Burlington,Fletcher Free Library,Public,1874,NA,1884,NA,1875,8500,1875,8500,NA
8213,485,6517,VT,Burlington,,YMA,1860,NA,1875,NA,1875,2000,1875,2000,Antebellum
8214,2986,95075,VT,Burlington,Burlington Mechanics' Institute,Mech,1842,NA,1847,NA,NA,0,NA,0,Antebellum
