Name,Organization,Year Elected,Status,Residency
William Short,American Philosophical Society,1804,Member,Resident
Sam Webber,American Philosophical Society,1804,Member,Resident
Joseph Willard,American Philosophical Society,1804,Member,Resident
William Hawes,American Philosophical Society,1805,Member,International
William Jones,American Philosophical Society,1805,Member,Resident
Edward Miller,American Philosophical Society,1805,Member,Resident
Samuel Moore,American Philosophical Society,1805,Member,Resident
John Prince,American Philosophical Society,1805,Member,Resident
Benjamin Silliman,American Philosophical Society,1805,Member,Resident
Charles Smith,American Philosophical Society,1805,Member,Resident
William Tilghman,American Philosophical Society,1805,Member,Resident
F.A. Vanderkemp,American Philosophical Society,1805,Member,Resident
Bushrod Washington,American Philosophical Society,1805,Member,Resident
Adrien G. Camper,American Philosophical Society,1806,Member,International
Joseph Cloud,American Philosophical Society,1806,Member,Resident
Samuel F. Conover,American Philosophical Society,1806,Member,Resident
William Dubourg,American Philosophical Society,1806,Member,Resident
John Maclean,American Philosophical Society,1806,Member,Resident
Martinus van Martius,American Philosophical Society,1806,Member,International
Joseph Sansom,American Philosophical Society,1806,Member,Resident
Francisco de Borja Garcao Stockler,American Philosophical Society,1806,Member,International
Olof Swartz,American Philosophical Society,1806,Member,International
Comte Antoine L.C. Desturr de Tracy,American Philosophical Society,1806,Member,International
Samuel B. Wylie,American Philosophical Society,1806,Member,Resident
Archibald Bruce,American Philosophical Society,1807,Member,Resident
Nathaniel Chapman,American Philosophical Society,1807,Member,Resident
Mahlon Dickerson,American Philosophical Society,1807,Member,Resident
John E. Forstroem,American Philosophical Society,1807,Member,International
James Gibson,American Philosophical Society,1807,Member,Resident
Ferd R. Hassler,American Philosophical Society,1807,Member,Resident
George Izard,American Philosophical Society,1807,Member,Resident
John McDowell,American Philosophical Society,1807,Member,Resident
Ir _ e Du Pont,American Philosophical Society,1807,Member,Resident
Comte de Charles P. Lasteyrie du Saillant,American Philosophical Society,1807,Member,International
Horace Binney,American Philosophical Society,1808,Member,Resident
Edward Penington,American Philosophical Society,1808,Member,Resident
William Staughton,American Philosophical Society,1808,Member,Resident
Joel Barlow,American Philosophical Society,1809,Member,Resident
Nathaniel Bowditch,American Philosophical Society,1809,Member,Resident
Ross Cuthbert,American Philosophical Society,1809,Member,International
George William Featherstonhaugh,American Philosophical Society,1809,Member,Resident
Robert Fulton,American Philosophical Society,1809,Member,Resident
Silvain Godon,American Philosophical Society,1809,Member,Resident
Francois A. Michaux,American Philosophical Society,1809,Member,International
Thomas Moore,American Philosophical Society,1809,Member,Resident
Robert M. Patterson,American Philosophical Society,1809,Member,Resident
David B. Warden,American Philosophical Society,1809,Member,Resident
James Winthrop,American Philosophical Society,1809,Member,Resident
J.H. Brinton,American Philosophical Society,1810,Member,Resident
Humphry Davy,American Philosophical Society,1810,Member,International
George Gibbs,American Philosophical Society,1810,Member,Resident
John Haighton,American Philosophical Society,1810,Member,International
