Name,Organization,Year Elected
Gotthelf Friedrich Fischer von Waldheim,American Academy of Arts and Sciences,1812
Nicolaus von Fuss,American Academy of Arts and Sciences,1812
Frederick Hall,American Academy of Arts and Sciences,1812
Horace Holley,American Academy of Arts and Sciences,1812
George Gardner Lee,American Academy of Arts and Sciences,1812
Ichabod Nichols,American Academy of Arts and Sciences,1812
Benjamin Lynde Oliver,American Academy of Arts and Sciences,1812
Elijah Paine,American Academy of Arts and Sciences,1812
Friedrich Theodor Schubert,American Academy of Arts and Sciences,1812
Peter Oxenbridge Thacher,American Academy of Arts and Sciences,1812
Joseph Tilden,American Academy of Arts and Sciences,1812
John Dexter Treadwell,American Academy of Arts and Sciences,1812
Daniel Appleton White,American Academy of Arts and Sciences,1812
Leonard Woods,American Academy of Arts and Sciences,1812
Rufus Wyman,American Academy of Arts and Sciences,1812
Robert Adrian,American Academy of Arts and Sciences,1813
Jeremiah Day,American Academy of Arts and Sciences,1813
John Garnett,American Academy of Arts and Sciences,1813
George Gibbs,American Academy of Arts and Sciences,1813
Jacob Perkins,American Academy of Arts and Sciences,1813
Abraham Rees,American Academy of Arts and Sciences,1813
Asahel Stearns,American Academy of Arts and Sciences,1813
William Sullivan,American Academy of Arts and Sciences,1813
Samuel Swett,American Academy of Arts and Sciences,1813
William Wells,American Academy of Arts and Sciences,1813
Thomas Lindall Winthrop,American Academy of Arts and Sciences,1813
Samuel Cary,American Academy of Arts and Sciences,1815
Jose Francisco Correa de Serra,American Academy of Arts and Sciences,1815
Jean Antoine Fabre,American Academy of Arts and Sciences,1815
Levi Frisbie,American Academy of Arts and Sciences,1815
David Hosack,American Academy of Arts and Sciences,1815
Andrews Norton,American Academy of Arts and Sciences,1815
Timothy Pickering,American Academy of Arts and Sciences,1815
Benjamin Pickman,American Academy of Arts and Sciences,1815
William Prescott,American Academy of Arts and Sciences,1815
Benjamin Silliman,American Academy of Arts and Sciences,1815
Horatio Gates Spafford,American Academy of Arts and Sciences,1815
Moses Stuart,American Academy of Arts and Sciences,1815
DeWitt Clinton,American Academy of Arts and Sciences,1816
Joseph Green Cogswell,American Academy of Arts and Sciences,1816
Samuel Willard,American Academy of Arts and Sciences,1816
Charles Jackson,American Academy of Arts and Sciences,1817
Dugald Stewart,American Academy of Arts and Sciences,1817
Edward Cutbush,Columbian Institute for the Promotion of Arts and Sciences,1816
Andrew Hunter,Columbian Institute for the Promotion of Arts and Sciences,1816
Nathaniel Cutting,Columbian Institute for the Promotion of Arts and Sciences,1816
Robert Brent,Columbian Institute for the Promotion of Arts and Sciences,1816
Thomas Law,Columbian Institute for the Promotion of Arts and Sciences,1816
Andrew Way,Columbian Institute for the Promotion of Arts and Sciences,1816
William Thornton,Columbian Institute for the Promotion of Arts and Sciences,1816
Joseph Anderson,Columbian Institute for the Promotion of Arts and Sciences,1816
Richard Forrest,Columbian Institute for the Promotion of Arts and Sciences,1816
Roger C. Weightman,Columbian Institute for the Promotion of Arts and Sciences,1816
William Weightman,Columbian Institute for the Promotion of Arts and Sciences,1816
Thomas Tingey,Columbian Institute for the Promotion of Arts and Sciences,1816
William Brent,Columbian Institute for the Promotion of Arts and Sciences,1816
William D. Digges,Columbian Institute for the Promotion of Arts and Sciences,1816
Richard B. Lee,Columbian Institute for the Promotion of Arts and Sciences,1816
Griffith Coombe,Columbian Institute for the Promotion of Arts and Sciences,1816
James D. Barry,Columbian Institute for the Promotion of Arts and Sciences,1816
Stephen Pleasonton,Columbian Institute for the Promotion of Arts and Sciences,1816
David Ott,Columbian Institute for the Promotion of Arts and Sciences,1816
Tobias Lear,Columbian Institute for the Promotion of Arts and Sciences,1816
Joseph Gales Jr.,Columbian Institute for the Promotion of Arts and Sciences,1816
Benjamin Henry Latrobe,Columbian Institute for the Promotion of Arts and Sciences,1816
William Seaton,Columbian Institute for the Promotion of Arts and Sciences,1816
Benjamin Homans,Columbian Institute for the Promotion of Arts and Sciences,1816
Franklin Wharton,Columbian Institute for the Promotion of Arts and Sciences,1816
J. Campbell,Columbian Institute for the Promotion of Arts and Sciences,1816
Buchanan Thornton,Columbian Institute for the Promotion of Arts and Sciences,1816
James H. Blake,Columbian Institute for the Promotion of Arts and Sciences,1816
W.G.D Worthington,Columbian Institute for the Promotion of Arts and Sciences,1816
Alexander Kemp,Columbian Institute for the Promotion of Arts and Sciences,1816
T.T. Tucker,Columbian Institute for the Promotion of Arts and Sciences,1816
Samuel Harrison Smith,Columbian Institute for the Promotion of Arts and Sciences,1816
joseph Caspian,Columbian Institute for the Promotion of Arts and Sciences,1816
W.B. Beale,Columbian Institute for the Promotion of Arts and Sciences,1816
Joseph Stretch,Columbian Institute for the Promotion of Arts and Sciences,1816
John Law,Columbian Institute for the Promotion of Arts and Sciences,1816
John D. Barclay,Columbian Institute for the Promotion of Arts and Sciences,1816
Samuel Brooks,Columbian Institute for the Promotion of Arts and Sciences,1816
Thomas B. Dashiell,Columbian Institute for the Promotion of Arts and Sciences,1816
E. King,Columbian Institute for the Promotion of Arts and Sciences,1816
John Cayle,Columbian Institute for the Promotion of Arts and Sciences,1816
J. Watson,Columbian Institute for the Promotion of Arts and Sciences,1816
John Cayle Jr.,Columbian Institute for the Promotion of Arts and Sciences,1816
Daniel Rapine,Columbian Institute for the Promotion of Arts and Sciences,1816
William Hewitt,Columbian Institute for the Promotion of Arts and Sciences,1816
Henry Ingle,Columbian Institute for the Promotion of Arts and Sciences,1816
Gilbert Darker,Columbian Institute for the Promotion of Arts and Sciences,1816
John McClelland,Columbian Institute for the Promotion of Arts and Sciences,1816
John Peter Van Ness,Columbian Institute for the Promotion of Arts and Sciences,1816
John M. Cowan,Columbian Institute for the Promotion of Arts and Sciences,1816
J.B.Varnum,Columbian Institute for the Promotion of Arts and Sciences,1816
Mathew Wright,Columbian Institute for the Promotion of Arts and Sciences,1816
John Abraham,Columbian Institute for the Promotion of Arts and Sciences,1816
Peter Lenox,Columbian Institute for the Promotion of Arts and Sciences,1816
Alexander McCormick,Columbian Institute for the Promotion of Arts and Sciences,1816
Andrew Ellicott,Columbian Institute for the Promotion of Arts and Sciences,1816
A. Grayson,Columbian Institute for the Promotion of Arts and Sciences,1816
Constant Truman,Columbian Institute for the Promotion of Arts and Sciences,1816
Walter Jones,Columbian Institute for the Promotion of Arts and Sciences,1816
Alexander McWilliams,Columbian Institute for the Promotion of Arts and Sciences,1816
Frederick May,Columbian Institute for the Promotion of Arts and Sciences,1816
Elias B. Caldwell,Columbian Institute for the Promotion of Arts and Sciences,1816
Henry Huntt,Columbian Institute for the Promotion of Arts and Sciences,1816
Edmund Law,Columbian Institute for the Promotion of Arts and Sciences,1816
Nicholas Young,Columbian Institute for the Promotion of Arts and Sciences,1816
