William Blanding,Academy of Natural Sciences,1836,Member,Corresponding
M. H. Ducrotay de Blainville,Academy of Natural Sciences,1817,Member,Corresponding
Francesco Bonelli,Academy of Natural Sciences,1815,Member,Corresponding
M. Amicus Borie,Academy of Natural Sciences,1821,Member,Corresponding
M. Ami Boue,Academy of Natural Sciences,1830,Member,Corresponding
William John Broderip,Academy of Natural Sciences,1836,Member,Corresponding
David Brewster,Academy of Natural Sciences,1822,Member,Corresponding
Lewis Brantz,Academy of Natural Sciences,1819,Member,Corresponding
M. Adolphe Brongniart,Academy of Natural Sciences,1821,Member,Corresponding
M. Alexandre Brongniart,Academy of Natural Sciences,1812,Member,Corresponding
Archibald Bruce,Academy of Natural Sciences,1812,Member,Corresponding
John Bradbury,Academy of Natural Sciences,1817,Member,Corresponding
Samuel Brown,Academy of Natural Sciences,1818,Member,Corresponding
William Buckland,Academy of Natural Sciences,1822,Member,Corresponding
John H. Burr,Academy of Natural Sciences,1829,Member,Corresponding
Jose Maria Bustamente,Academy of Natural Sciences,1829,Member,Corresponding
William J. Burchell,Academy of Natural Sciences,1835,Member,Corresponding
M. Adrian Camper,Academy of Natural Sciences,1821,Member,Corresponding
Robert Carr,Academy of Natural Sciences,1816,Member,Corresponding
Lewis Cass,Academy of Natural Sciences,1831,Member,Corresponding
J. N. Casanova,Academy of Natural Sciences,1834,Member,Corresponding
T. P. Cautley,Academy of Natural Sciences,1836,Member,Corresponding
Isaac Chapman,Academy of Natural Sciences,1813,Member,Corresponding
John George Children,Academy of Natural Sciences,1836,Member,Corresponding
Jacob Cist,Academy of Natural Sciences,1816,Member,Corresponding
Parker Cleaveland,Academy of Natural Sciences,1812,Member,Corresponding
Dewitt Clinton,Academy of Natural Sciences,1815,Member,Corresponding
John D. Clifford,Academy of Natural Sciences,1816,Member,Corresponding
M. Jules Cloquet,Academy of Natural Sciences,1818,Member,Corresponding
M. le Baron de Collens,Academy of Natural Sciences,1818,Member,Corresponding
William Cooper,Academy of Natural Sciences,1828,Member,Corresponding
Thomas Cooper,Academy of Natural Sciences,1812,Member,Corresponding
Lewis Le Conte,Academy of Natural Sciences,1815,Member,Corresponding
John Le Conte,Academy of Natural Sciences,1815,Member,Corresponding
Joseph H. Cogswell,Academy of Natural Sciences,1816,Member,Corresponding
Luigi Colla,Academy of Natural Sciences,1822,Member,Corresponding
J. J. Cohen,Academy of Natural Sciences,1833,Member,Corresponding
James S. Craft,Academy of Natural Sciences,1831,Member,Corresponding
H. B. Croom,Academy of Natural Sciences,1835,Member,Corresponding
Charles Cramer,Academy of Natural Sciences,1834,Member,Corresponding
John Curtis,Academy of Natural Sciences,1836,Member,Corresponding
M. le Baron Cuvier,Academy of Natural Sciences,1818,Member,Corresponding
M. Frederick Cuvier,Academy of Natural Sciences,1818,Member,Corresponding
John Davis,Academy of Natural Sciences,1812,Member,Corresponding
Samuel L. Dana,Academy of Natural Sciences,1815,Member,Corresponding
James D. Dana,Academy of Natural Sciences,1836,Member,Corresponding
William Darlington,Academy of Natural Sciences,1818,Member,Corresponding
M. Anselme Gaetan Desmarest,Academy of Natural Sciences,1817,Member,Corresponding
James E. Dekay,Academy of Natural Sciences,1821,Member,Corresponding
Gaspard Deabbate,Academy of Natural Sciences,1823,Member,Corresponding
M. Andres del Rio,Academy of Natural Sciences,1829,Member,Corresponding
M. G. P. Dehayes,Academy of Natural Sciences,1832,Member,Corresponding
Chester Dewey,Academy of Natural Sciences,1832,Member,Corresponding
Henry Thomas De la Beche,Academy of Natural Sciences,1832,Member,Corresponding
Lewis Weston Dillwyn,Academy of Natural Sciences,1815,Member,Corresponding
C. Doddridge,Academy of Natural Sciences,1812,Member,Corresponding
Johan Wolfgang Doebreiner,Academy of Natural Sciences,1830,Member,Corresponding
Daniel Drake,Academy of Natural Sciences,1812,Member,Corresponding
M. A. Drappier,Academy of Natural Sciences,1824,Member,Corresponding
John W. Draper,Academy of Natural Sciences,1836,Member,Corresponding
M. Duclos,Academy of Natural Sciences,1833,Member,Corresponding
Thomas Duncan,Academy of Natural Sciences,1816,Member,Corresponding
M. Constant Dumeril,Academy of Natural Sciences,1818,Member,Corresponding
M. M. Duvignan,Academy of Natural Sciences,1820,Member,Corresponding
Alfred Dupont,Academy of Natural Sciences,1821,Member,Corresponding
Julius F. Ducatel,Academy of Natural Sciences,1812,Member,Corresponding
Chev. A. M. Vassali Eandi,Academy of Natural Sciences,1822,Member,Corresponding
 Amos Eaton,Academy of Natural Sciences,1829,Member,Corresponding
H. Hulbert Eaton,Academy of Natural Sciences,1831,Member,Corresponding
John Milton Earle,Academy of Natural Sciences,1833,Member,Corresponding
M. H. Milne Edwards,Academy of Natural Sciences,1832,Member,Corresponding
William Cox Ellis,Academy of Natural Sciences,1823,Member,Corresponding
Andrew Ellicott,Academy of Natural Sciences,1812,Member,Corresponding
Stephen Elliott,Academy of Natural Sciences,1815,Member,Corresponding
M. Henri Esher,Academy of Natural Sciences,1813,Member,Corresponding
M. Favjas de St. Fond,Academy of Natural Sciences,1812,Member,Corresponding
Sylvanus Faucker,Academy of Natural Sciences,1815,Member,Corresponding
Hugh Falconer,Academy of Natural Sciences,1836,Member,Corresponding
Z. Ferris,Academy of Natural Sciences,1815,Member,Corresponding
George William Featherstonhaugh,Academy of Natural Sciences,1830,Member,Corresponding
M. le Baron Daudebard de Fcrussac,Academy of Natural Sciences,1818,Member,Corresponding
Leopold Fitzinger,Academy of Natural Sciences,1832,Member,Corresponding
Thomas Forster,Academy of Natural Sciences,1815,Member,Corresponding
Samuel Fowler,Academy of Natural Sciences,1823,Member,Corresponding
John P. Foote,Academy of Natural Sciences,1824,Member,Corresponding
Henry Frick,Academy of Natural Sciences,1831,Member,Corresponding
John W. Francis,Academy of Natural Sciences,1816,Member,Corresponding
M. Augustin Frutos,Academy of Natural Sciences,1819,Member,Corresponding
Don Manuel de la Garca,Academy of Natural Sciences,1817,Member,Corresponding
John Galbraith,Academy of Natural Sciences,1831,Member,Corresponding
Ernest Frederick Germar,Academy of Natural Sciences,1828,Member,Corresponding
E. Geddings,Academy of Natural Sciences,1832,Member,Corresponding
Henry Gibbons,Academy of Natural Sciences,1834,Member,Corresponding
Robert Gilmore,Academy of Natural Sciences,1819,Member,Corresponding
George Gibbs,Academy of Natural Sciences,1815,Member,Corresponding
Francis W. Gilmer,Academy of Natural Sciences,1815,Member,Corresponding
John Gorham,Academy of Natural Sciences,1816,Member,Corresponding
August Goldfuss,Academy of Natural Sciences,1832,Member,Corresponding
John Griscom,Academy of Natural Sciences,1814,Member,Corresponding
Thomas Griffith,Academy of Natural Sciences,1815,Member,Corresponding
Edward Griffith,Academy of Natural Sciences,1828,Member,Corresponding
R. H. Greville,Academy of Natural Sciences,1823,Member,Corresponding
M. Grateloup,Academy of Natural Sciences,1836,Member,Corresponding
Asa Gray,Academy of Natural Sciences,1836,Member,Corresponding
John Edward Gray,Academy of Natural Sciences,1829,Member,Corresponding
Benjamin D. Green,Academy of Natural Sciences,1831,Member,Corresponding
John Guillemard,Academy of Natural Sciences,1817,Member,Corresponding
John Gummere,Academy of Natural Sciences,1816,Member,Corresponding
M. Haiiy,Academy of Natural Sciences,1812,Member,Corresponding
John S. Haines,Academy of Natural Sciences,1814,Member,Corresponding
Horace H. Hayden,Academy of Natural Sciences,1815,Member,Corresponding
I. H. Hassenfratz,Academy of Natural Sciences,1819,Member,Corresponding
George Hazelwood,Academy of Natural Sciences,1821,Member,Corresponding
T. W. Harris,Academy of Natural Sciences,1826,Member,Corresponding
James Hadley,Academy of Natural Sciences,1828,Member,Corresponding
Josiah Harlan,Academy of Natural Sciences,1831,Member,Corresponding
Edward C. Herrick,Academy of Natural Sciences,1836,Member,Corresponding
S. P. Hildreth,Academy of Natural Sciences,1832,Member,Corresponding
Edward Hitchcock,Academy of Natural Sciences,1832,Member,Corresponding
